year,statistical_region,type_of_waste,waste_category,treatment_process,waste_for_processing
2019,SAVINJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",14136.104
2019,SAVINJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",9366.929
2019,SAVINJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,195.23
2019,SAVINJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",161.975
2019,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,D_01,0.78
2019,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,223.916
2019,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_0302,3.52
2019,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",65.46
2019,SAVINJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_03,967.752
2019,SAVINJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1713.796
2019,SAVINJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_01,1867.8
2019,SAVINJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",3.7
2019,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,PU,0.14
2019,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,729.74
2019,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",8745.941
2019,ZASAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1009.81
2019,ZASAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",118.44
2019,ZASAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",0.14
2020,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,6678.84
2020,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,17.735
2020,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",386.489
2020,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_01,610.121
2020,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,189.2
2020,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",93.42
2020,GORENJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,D_13,1.08
2020,GORENJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",792.463
2020,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",4525.239
2020,GORENJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",4161.742
2020,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",458.715
2020,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,1977.884
2020,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",323.022
2020,GORENJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",391.53
2020,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_01,1839.48
2020,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",53.902
2020,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,108.61
2020,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",4402.78
2020,GORIŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,455.953
2020,GORIŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",12.75
2020,GORIŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_03,126.05
2020,GORIŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,191.52
2020,GORIŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",24.38
2020,GORIŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",5.4
2020,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_0101,11.93
2020,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",2123.533
2020,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_0101,68.628
2020,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",888.136
2020,GORIŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",21.326
2020,GORIŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",492.765
2020,GORIŠKA,Wooden Packaging (15 01 03),Packaging Waste,R_13,1.56
2020,JUGOVZHODNA SLOVENIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,1945.28
2020,JUGOVZHODNA SLOVENIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",2074.93
2020,JUGOVZHODNA SLOVENIJA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",69.49
2020,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",64.5
2020,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,39.64
2020,JUGOVZHODNA SLOVENIJA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",5989.374
2020,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",2071.625
2020,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",10.7
2020,JUGOVZHODNA SLOVENIJA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",3869.78
2020,JUGOVZHODNA SLOVENIJA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1832.637
2020,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",2453.585
2020,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,R_13,45.355
2020,KOROŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",2480.418
2020,KOROŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,6
2020,KOROŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1367.04
2020,KOROŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",705.64
2020,KOROŠKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,450
2020,KOROŠKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",195.06
2020,KOROŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",160.84
2020,OBALNO-KRAŠKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,"R_12, R_13",2.46
2020,OBALNO-KRAŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",24.347
2020,OBALNO-KRAŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",105.384
2020,OBALNO-KRAŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",395.18
2020,OBALNO-KRAŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",3678.692
2020,OBALNO-KRAŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,260.8
2020,OBALNO-KRAŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",658.856
2020,OBALNO-KRAŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_12,50.48
2020,OBALNO-KRAŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",48.587
2020,OBALNO-KRAŠKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",346.963
2020,OBALNO-KRAŠKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",8.97
2020,OBALNO-KRAŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",854.185
2020,OSREDNJESLOVENSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,"R_12, R_13",31.75
2020,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,1.77
2020,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_05,20
2020,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",17758.191
2020,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_03,2896.542
2020,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_0302,0.7
2020,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,586.252
2020,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_12,36.42
2020,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",449.282
2020,OSREDNJESLOVENSKA,Forestry Waste (02 01 07),Agricultural/Forestry Waste,R_03,32.42
2020,OSREDNJESLOVENSKA,Forestry Waste (02 01 07),Agricultural/Forestry Waste,R_05,102.6
2020,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,31163.94
2020,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,438.12
2020,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_05,13.28
2020,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,1900.78
2020,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",5881.201
2020,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",57661.55
2020,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,D_13,0.273
2020,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",72239.802
2020,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,135.939
2020,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",17232.604
2020,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_03,1121.4
2020,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_0302,48.38
2020,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",282.09
2020,OSREDNJESLOVENSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_03,11228.693
2020,OSREDNJESLOVENSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",7787.09
2020,OSREDNJESLOVENSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_03,7058.46
2020,OSREDNJESLOVENSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",0.05
2020,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,PU,364.051
2020,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,123.61
2020,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_03,10176.248
2020,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_0302,207.66
2020,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_05,329.7
2020,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_12,53
2020,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",8960.896
2020,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_13,17.181
2020,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_09,378.65
2020,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,4.45
2020,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,157.42
2020,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",5215.597
2020,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_13,12.371
2020,PODRAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,13.38
2020,PODRAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",373.76
2020,PODRAVSKA,Forestry Waste (02 01 07),Agricultural/Forestry Waste,"R_12, R_13",2.38
2020,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,1173.06
2020,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",372.28
2020,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,1820.734
2020,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,D_10,1.3
2020,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,43.16
2020,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",13068.263
2020,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,D_10,22.095
2020,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,18.38
2020,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_0302,50.632
2020,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,73.561
2020,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",10460.752
2020,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,0.18
2020,PODRAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_12,267.45
2020,PODRAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",166.19
2020,PODRAVSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",88.54
2020,PODRAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_12,107.32
2020,PODRAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1257.33
2020,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,D_10,5.41
2020,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",3284.908
2020,POMURSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",5363.01
2020,POMURSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,33
2020,POMURSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",1.94
2020,POMURSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",856.98
2020,POMURSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",3322.104
2020,POMURSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",2726.041
2020,POMURSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,D_10,1.072
2020,POMURSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",34.1
2020,POMURSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",2071.24
2020,POMURSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",659.945
2020,POSAVSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,R_01,7126.511
2020,POSAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_03,2792.09
2020,POSAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,98.64
2020,POSAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",52.11
2020,POSAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",0.4
2020,POSAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_01,927
2020,POSAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",4.32
2020,POSAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,4313.297
2020,POSAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",486.994
2020,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,107650.285
2020,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,13033.208
2020,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",35.604
2020,POSAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,59269.931
2020,POSAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_12,383.06
2020,POSAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",468.883
2020,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,386.599
2020,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",179.83
2020,PRIMORSKO-NOTRANJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",159.02
2020,PRIMORSKO-NOTRANJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,388.75
2020,PRIMORSKO-NOTRANJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",5.5
2020,SAVINJSKA,Bark and Cork Waste (03 01 01),Wood/Paper Production Waste,R_01,1.855
2020,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,9.56
2020,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_03,15
2020,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,15149.67
2020,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1961.51
2020,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,D_01,64.68
2020,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",234.762
2020,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_01,500.12
2020,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,70
2020,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,717.475
2020,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",1956.682
2020,SAVINJSKA,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,"R_12, R_13",1233.88
2020,SAVINJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,BO,10.8
2020,SAVINJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,14.07
2020,SAVINJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",16862.065
2020,SAVINJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",7201.209
2020,SAVINJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,24.64
2020,SAVINJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",2027.41
2020,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,2.58
2020,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",44.43
2020,SAVINJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_03,648.705
2020,SAVINJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1988.289
2020,SAVINJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_01,3035.96
2020,SAVINJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",444.553
2020,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,BO,0
2020,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,PU,0.12
2020,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,962.522
2020,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_12,265.94
2020,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",7407.94
2020,ZASAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",854.06
2020,ZASAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",126.58
2021,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,5628.431
2021,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,23.851
2021,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",6272.522
2021,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,BO,10.92
2021,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_01,440.92
2021,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,78.5
2021,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",709.43
2021,GORENJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",2780.467
2021,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",5824.118
2021,GORENJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",2770.989
2021,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",319.874
2021,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,1622.816
2021,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",335.947
2021,GORENJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",13.62
2021,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_01,1156.7
2021,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",596.546
2021,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,148.14
2021,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",6503.292
2021,GORIŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",23.6
2021,GORIŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",0.88
2021,GORIŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",1.56
2021,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_0101,6.35
2021,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,507.322
2021,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1772.566
2021,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_0101,15.05
2021,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,868.567
2021,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",1463.914
2021,GORIŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",58.257
2021,GORIŠKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",23.32
2021,GORIŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",1019.813
2021,JUGOVZHODNA SLOVENIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,1851.51
2021,JUGOVZHODNA SLOVENIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",2213.03
2021,JUGOVZHODNA SLOVENIJA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",199.37
2021,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",57.061
2021,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,41.45
2021,JUGOVZHODNA SLOVENIJA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",6481.637
2021,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",3570.787
2021,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",806.23
2021,JUGOVZHODNA SLOVENIJA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",4356.358
2021,JUGOVZHODNA SLOVENIJA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",2124.464
2021,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",2742.521
2021,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,R_13,96.651
2021,KOROŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",2714.57
2021,KOROŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",3.49
2021,KOROŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",11.95
2021,KOROŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1225.931
2021,KOROŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",851.445
2021,KOROŠKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,450
